data_name,System,Variable ID,Section on Systems Map,Variable Name,Description,Value,Unit,Source organisation,Weblink,Tags
Apr_2023,Land Use & Natural Resources,n_24,Arable ,Heating And Electricity Demand,The amount of demand for on farm electricity and heating,455,million £,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_25,Arable ,Import Of Crops,The amount of crops imported for the UK,4853,Thousand Tonnes,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_26,Arable ,Intensification Practices,The extent to which farmers are adopting more intensive farming practices,,,,,
Apr_2023,Land Use & Natural Resources,n_27,Socio-Economics,International Commodity Prices,Prices of different goods in the international market,,,,,
Apr_2023,Land Use & Natural Resources,n_28,Arable ,Land Used For Crops,The total amount of land used for crops in the UK,3.746,Million Hectares,"Department for Environment, Food & Rural Affairs",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1051056/Structure-jun2021final-england-27jan22.odt,
Apr_2023,Land Use & Natural Resources,n_29,Socio-Economics,Length Of Tenancies,the average length of tenancies for farmers working on rented land,,,,,
Apr_2023,Land Use & Natural Resources,n_30,Arable ,Low Input/Tillage Agricultural Practices,The extent to which low input and low tillage practices are used by farmers,3,% of UK arable area that is farmed using Conservation Agriculture (zero tillage),Farmers' Weekly,https://www.fwi.co.uk/arable/many-uk-growers-missing-benefits-zero-tillage,
Apr_2023,Land Use & Natural Resources,n_31,Arable ,Mineral Fertiliser Usage,The amount of mineral/artifical fertiliser used in the UK,1147,million £,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_32,Socio-Economics,New Entrants To The Farming Sector,The number of new entrants to the farming sector i.e. people without a farming background becoming farmers,,,,,
Apr_2023,Land Use & Natural Resources,n_33,Arable ,Urban Food Production,The amount of food production happening within an urban environment,,,,,
Apr_2023,Land Use & Natural Resources,n_34,Arable ,Pesticide Usage,The total amount of pesticide used in the UK,1097,million £,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_35,Arable ,Resilience Of Agricultural Systems,The extent to which agricultural systems are resilient and can cope with changing or adverse conditions,,,,,
Apr_2023,Land Use & Natural Resources,n_36,Arable ,"Skills, Advice And Guidance","The availability of skills, advice, and guidance within the farming community to employ more sustainable methods.",,,,,
Apr_2023,Land Use & Natural Resources,n_37,Socio-Economics,Succession Planning Among Farmers,The extent to which farmers plan for someone to continue the operations of their farms after they retire,,,,,
Apr_2023,Land Use & Natural Resources,n_38,Arable ,UK Emissions From Crop Production,The total carbon dioxide equivalent emissions from crop production,15.9,Million tonnes CO2 equivalent ,"Department for Business, Energy & Industrial Strategy","UK Greenhouse Gas Inventory, 1990 to 2019 (defra.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_39,Arable ,UK Crop Demand,The total demand for crops from the UK market,,,,,
Apr_2023,Land Use & Natural Resources,n_40,Arable ,Uk Crop Production,The total amount of crops produced in the UK,17.3,Million Hectares,"Department for Environment, Food & Rural Affairs","Farming statistics - final crop areas, yields, livestock populations and agricultural workforce at 1 June 2020 - UK (publishing.service.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_41,Bioenergy & Renewables,Anaerobic Digestors,Number of anaerobic digestors operating in the UK,579,Number of Operational Anaerobic Digestion Plants,"Department for Environment, Food & Rural Affairs",Section 3: Anaerobic digestion - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_42,Bioenergy & Renewables,Arable Bioenergy Crop Production (Incl. Maize),Total production of arable bioenergy crops in the UK which includes maize,3626,Thousand Hectares,"Department for Environment, Food & Rural Affairs",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiszqrmpvL1AhU1kFwKHfy4CiwQFnoECA0QAQ&url=https%3A%2F%2Fassets.publishing.service.gov.uk%2Fgovernment%2Fuploads%2Fsystem%2Fuploads%2Fattachment_data%2Ffile%2F943264%2F,
Apr_2023,Land Use & Natural Resources,n_43,Bioenergy & Renewables,Availability Of Digestate,Total availability of digestate from anaerobic digestion to be used as fetilizer,,,,,
Apr_2023,Land Use & Natural Resources,n_44,Bioenergy & Renewables,Bioenergy Power Plants,Total number of power plants running on biofuels in the UK,226,Number of Bioenergy Plants,,Biomass Plants - UK Electricity Production,
Apr_2023,Land Use & Natural Resources,n_45,Bioenergy & Renewables,Biofuel Production,Total liquid biofuel production in the UK,293000000,Litres/Kilograms,"Department for Environment, Food & Rural Affairs",Section 1: Biofuels - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_46,Bioenergy & Renewables,Biogas Production,Total biogas production in the UK,1254,Gigawatt hour (GWh) of energy produced under the RHI scheme ,"Department for Environment, Food & Rural Affairs",Area of crops grown for bioenergy in England and the UK: 2008-2020 - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_47,Bioenergy & Renewables,Biomass Crops Demand,UK Demand for crops to be used for bioenergy and biofuel,,,,,
Apr_2023,Land Use & Natural Resources,n_48,Bioenergy & Renewables,Investment In Anaerobic Digestion,The amount of investment in biogas,,,,,
Apr_2023,Land Use & Natural Resources,n_49,Bioenergy & Renewables,AD Feedstock Availability,The availability of feedstocks that are used in anaerobic digestion,,,,,
Apr_2023,Land Use & Natural Resources,n_50,Bioenergy & Renewables,Carbon Intensity Of Electricity,The amount of carbon created for each unit on energy generated in the electricity grid,Varies by day - see data,CO2 emissions produced per kilowatt hour of electricity consumed (gCO2/kWh) ,National Grid ESO,https://carbonintensity.org.uk/,
Apr_2023,Land Use & Natural Resources,n_51,Bioenergy & Renewables,Dependency On Biomass,The extent to which bioenergy/biofuels are relied upon as sources of energy/fuel in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_52,Bioenergy & Renewables,Farmer Acceptance Of Change To Biomass,The extent to which farmers accept change from producing food to biomass feedstocks,,,,,
Apr_2023,Land Use & Natural Resources,n_53,Bioenergy & Renewables,Investment In Bioenergy,The amount of investment in bioenergy,26,"million £, UK government funding","Department for Business, Energy & Industrial Strategy",https://www.gov.uk/government/news/26-million-government-funding-to-boost-biomass-in-uk,
Apr_2023,Land Use & Natural Resources,n_54,Bioenergy & Renewables,Land Used For Green Energy Infrastructure,"The amount of land used for green energy infrastructure, including solar, wind, and bioenergy",,,,,
Apr_2023,Land Use & Natural Resources,n_55,Bioenergy & Renewables,Opportunities For BECCS,The number of bioenergy plants that can use carbon capture and storage,,,,,
Apr_2023,Land Use & Natural Resources,n_56,Bioenergy & Renewables,Biomass Transport Emissions,The emissions resulting in the transport of biomass,,,,,
Apr_2023,Land Use & Natural Resources,n_57,Bioenergy & Renewables,Solar And Wind Energy Farms,Number of solar and wind energy farms built on land,"8000 - Wind Businesses (UK)
27,500 - Solar Businesses (UK)",Number of businesses (UK),Office for National Statistics,https://www.ons.gov.uk/economy/environmentalaccounts/datasets/lowcarbonandrenewableenergyeconomyfirstestimatesdataset,
Apr_2023,Land Use & Natural Resources,n_58,Bioenergy & Renewables,Straw Offtake For Biomass,The amount of crop residues removed from fields for use in biomass,"191, 340",Tonnes,"Department for Environment, Food & Rural Affairs",Crops Grown for Bioenergy in the UK 2019 (publishing.service.gov.uk),
Apr_2023,Land Use & Natural Resources,n_59,Bioenergy & Renewables,Viability Of Anerobic Digestors,The economic viability of runnning anaerobic digestors,,,,,
Apr_2023,Land Use & Natural Resources,n_60,Bioenergy & Renewables,Viability Of Bioenergy Plants,The economic viability of running bioenergy plants,,,,,
Apr_2023,Land Use & Natural Resources,n_61,Bioenergy & Renewables,Woody Biomass Production,Total production of woody biomass crops in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_62,Environment & Soils,Adoption Of Agri-Environmental Schemes,The extent to which government agri-environmental schemes are adopted by farmers,3.6,Million Hectares,JNCC,UKBI - B1a. Agri-environment schemes | JNCC - Adviser to Government on Nature Conservation,
Apr_2023,Land Use & Natural Resources,n_63,Trees,Agroforestry,The amount of agroforestry where trees and agriculture are combined on the same land,3.3,% of farmland in the UK that is agroforestry ,Woodlands Trust,State of the UK's Woods and Trees 2021 (woodlandtrust.org.uk),
Apr_2023,Land Use & Natural Resources,n_64,Environment & Soils,Air Quality,The quality of air in the UK measured by levels of the five key harmful pollutants in the air,Varies for roadside monitoring sites and urban background sites,Microgram per cubic metre of air (µg/m3),"Department for Environment, Food & Rural Affairs","Data Selector Tool - Defra, UK",
Apr_2023,Land Use & Natural Resources,n_65,Environment & Soils,Carbon Storage/Abatement In Soil,The amount of carbon stored in soil,10,Billion Tonnes of Carbon,UK Parliament - POST,Soil as an essential national asset - POST (parliament.uk),
Apr_2023,Land Use & Natural Resources,n_66,Environment & Soils,Coherent Landscape Management,The extent to which a landscape level plan to manage enviornmental impact is implemented,,,,,
Apr_2023,Land Use & Natural Resources,n_67,Environment & Soils,Cover Crop Growing,The growing of cover crops to prevent soil being left uncovered,,,,,
Apr_2023,Land Use & Natural Resources,n_68,Environment & Soils,Diffuse Pollution,The amount of diffuse pollution from urban areas and agriculture,,,The Parliamentary Office of Science and Technology,Reducing Diffuse Pollution of Water by Agriculture (parliament.uk),
Apr_2023,Land Use & Natural Resources,n_69,Environment & Soils,Effectiveness Of Conservation Programmes,The effectiveness of implementation of conservation programs in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_70,Environment & Soils,Habitat (Quality And Quantity),The quality and quantity of habitats in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_71,Environment & Soils,Habitat Fragmentation,The extent to which habitats are fragmented into seperate pockets,,,,,
Apr_2023,Land Use & Natural Resources,n_72,Environment & Soils,Land Designated As Protected Area,The amount of land designated as protected areas,6.793,Million Hectares,JNCC,UKBI - C1. Protected areas | JNCC - Adviser to Government on Nature Conservation,
Apr_2023,Land Use & Natural Resources,n_73,Environment & Soils,Landscape Character,"The distinct, recognisable and consistent pattern of elements in the landscape",,,,,
Apr_2023,Land Use & Natural Resources,n_74,Environment & Soils,Net Soil Emissions,The net carbon equivalent GHG emissions emitted/abated by soils,12.452,Million tonnes CO2 equivalent ,"Department for Business, Energy & Industrial Strategy","2019 UK Greenhouse Gas Emissions, Final Figures (publishing.service.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_75,Environment & Soils,Public Health And Wellbeing,The health and wellbeing of the population,,,,,
Apr_2023,Land Use & Natural Resources,n_76,Environment & Soils,Quality And Length Of Hedgerows,The quality and extent of hedgerows in the UK,402000,Kilometres,"Hedgelinks &
UK Centre for Ecology and Hydrology (UKCEH)",Importance of hedgerows | Hedgelink,
Apr_2023,Land Use & Natural Resources,n_77,Environment & Soils,Mixed And Regenerative Farming,Farming practices that reduce damage to soil structure and restore nutrients,,,,,
Apr_2023,Land Use & Natural Resources,n_78,Environment & Soils,Risk Of Soil Acidification,The risk of soils becoming acidified,,,,,
Apr_2023,Land Use & Natural Resources,n_79,Environment & Soils,Soil Health,The overall health of soils based on biological and nutrient content and its structure,,,,,
Apr_2023,Land Use & Natural Resources,n_80,Environment & Soils,Species Abundance/Diversity,The abundance of species and the diversity of different species,0.5,Biodiversity Intactness Index,Royal Society for the Protection of Birds,48398rspb-biodivesity-intactness-index-summary-report-v4.pdf,
Apr_2023,Land Use & Natural Resources,n_81,Livestock ,Alternative Animal Feeds,The use of alternative sources of livestock feed from less carbon intensive sources,,,,,
Apr_2023,Land Use & Natural Resources,n_82,Livestock ,Alternative Proteins (Meat Substitutes),The availability of alternative source of proteins to replace meat in diets,,,,,
Apr_2023,Land Use & Natural Resources,n_83,Livestock ,Availability Of Manure And Waste,The availability of waste produced by livestock,,,,,
Apr_2023,Land Use & Natural Resources,n_84,Livestock ,Best Practice Grazing,The use of best practice grazing and livestock management by farmers,,,,,
Apr_2023,Land Use & Natural Resources,n_85,Livestock ,Breeding For Resource Efficiency,Breeding of livestock to be more emissions efficient in converting feed to mass,"33% cattle
21% lambs",% farms using estimated breeding value,"Department for Environment, Food & Rural Affairs",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/835762/agriclimate-9edition-02oct19.pdf,
Apr_2023,Land Use & Natural Resources,n_86,Livestock ,Carbon Footprint Of Feed,The carbon footprint of livestock feed,,,Centre for Innovation Excellence in Livestock,CIEL-Net-Zero-Carbon-UK-Livestock_2020_Interactive.pdf (cielivestock.co.uk),
Apr_2023,Land Use & Natural Resources,n_87,Livestock ,Carbon Intensity Of Livestock Type,The carbon intensity of the different types of livestock produced i.e. beef would be higher than chicken,"Varies by livestock type (beef cattle, dairy cattle, sheep, pig - see comments)",kg CO2e / kg meat (or / milk volume for dairy),"Department for Environment, Food & Rural Affairs",Agri-climate report 2021 - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_88,Livestock ,CO2e Emissions From Livestock Production,The total carbon dioxide equivalent GHG emissions from livestock production,34.4,Million tonnes CO2 equivalent ,Climate Change Committee,https://www.theccc.org.uk/wp-content/uploads/2020/12/Sector-summary-Agriculture-land-use-land-use-change-forestry.pdf,
Apr_2023,Land Use & Natural Resources,n_89,Livestock ,Consumer Demand For Meat/Dairy,The UK demand from consumers for meat and dairy products,,,,,
Apr_2023,Land Use & Natural Resources,n_90,Livestock ,Consumer Desire To Reduce Emissions,Consumer desire to reduce emissions of food they consume,81,% of consumers that are very or somewhat concerned about climate change,Ofgem,https://www.ofgem.gov.uk/sites/default/files/docs/2020/10/consumer_opinion_about_climate_change_and_decarbonisation.pdf,
Apr_2023,Land Use & Natural Resources,n_91,Livestock ,Consumer Meat And Dairy Costs,The cost of meat and dairy products to the consumer,(multiple),index,"Department for Environment, Food & Rural Affairs",Food Statistics in your pocket: Global and UK supply - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_92,Livestock ,Demand For Livestock Feed,The total UK demand for artificial livestock feed,,,,,
Apr_2023,Land Use & Natural Resources,n_93,Livestock ,Efficiency Of Feedstock,The efficiency of livestock feed i.e. in reducing the overall amount required for growth,,,,,
Apr_2023,Land Use & Natural Resources,n_94,Livestock ,Exported Livestock Emissions,The amount of carbon dioxide equivalent GHG emissions exported abroad by consuming imported meat and dairy,,,,,
Apr_2023,Land Use & Natural Resources,n_95,Livestock ,Geographical Polarisation Of Farming Type,The extent to which farming types are polarised with arable and livestock farming in different regions,,,,,
Apr_2023,Land Use & Natural Resources,n_96,Livestock ,Intensity Of Livestock Farming,The intensity by which livestock farming occurs i.e. amount of output from a unit of land,,,,,
Apr_2023,Land Use & Natural Resources,n_97,Livestock ,Grassland Used For Grazing,The amount of land used in the UK for grassland to graze livestock,,,,,
Apr_2023,Land Use & Natural Resources,n_98,Livestock ,Livestock In Mixed System,The extent to which livestock is produced in a mixed system including other types of farming,,,,,
Apr_2023,Land Use & Natural Resources,n_99,Livestock ,Livestock Productivity,The productivity of livestock i.e. the amount of produce from a given number of animals,104.8,Index,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_100,Livestock ,Livestock Quality Over Quantity,The extent to which quality of livestock products are prefered over quantity produced,,,,,
Apr_2023,Land Use & Natural Resources,n_101,Livestock ,Livestock Shelter From Heat,The amount of shelter from heat provided for livestock,,,,,
Apr_2023,Land Use & Natural Resources,n_102,Livestock ,Livestock Health,The health of livestock,,,,,
Apr_2023,Land Use & Natural Resources,n_103,Livestock ,Meat/Dairy Exported,The amount of meat and dairy exported by UK producers,(different values for different meat type),Thousand Tonnes,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_104,Livestock ,Meat/Dairy Imported,The amount of meat and dairy imported for UK consumers,"6.6 - meat
3.3 - dairy & eggs",Billion Pounds,"Department for Environment, Food & Rural Affairs",Food Statistics in your pocket: Global and UK supply - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_105,Livestock ,Meat/Dairy Imported Transport Emissions,The emissions resulting in the transport of biomass,,,,,
Apr_2023,Land Use & Natural Resources,n_106,Livestock ,UK Livestock Numbers,The total number of livestock animals in the UK,35939000,"head of livestock (cattle, sheep, pigs)","Department for Environment, Food & Rural Affairs",Livestock numbers in England and the UK - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_107,Livestock ,UK Meat/Dairy Production,The total amount of meat and dairy produced in the UK,4163,Thousand Tonnes Dressed Carcase Weight,"Department for Environment, Food & Rural Affairs","UK home fed meat production, trade and supplies – (data for quarter 3 2021)",
Apr_2023,Land Use & Natural Resources,n_108,Livestock ,Winter Housing Of Livestock,The extent to which animals are housed inside during the winter,,,,,
Apr_2023,Land Use & Natural Resources,n_109,Livestock ,Demand for Grazing Forage,The total UK demand for grazing forage to feed livestock,,,,,
Apr_2023,Land Use & Natural Resources,n_110,Livestock ,Grassland Productivity,The productivity of grassland used for grazing,,,,,
Apr_2023,Land Use & Natural Resources,n_111,Peatland,Afforestation On Peat,The amount of planting of forests on peatland,28766,Total Hectares of area of afforestation on peat between 1990 and 2013,Office for National Statistics,UK natural capital - Office for National Statistics (ons.gov.uk),
Apr_2023,Land Use & Natural Resources,n_112,Peatland,Crops On Lowland Peat,The amount of planting of crops on peatland,,,Office for National Statistics,UK natural capital - Office for National Statistics (ons.gov.uk),
Apr_2023,Land Use & Natural Resources,n_113,Peatland,Development On Peatland,The amount of urban development on peatland,,,"Scottish Government, Scottish Natural Heritage,  SEPA",https://www.gov.scot/binaries/content/documents/govscot/publications/advice-and-guidance/2018/12/peatland-survey-guidance/documents/peatland-survey-guidance-2017/peatland-survey-guidance-2017/govscot%3Adocument/Guidance%2Bon%2Bdevelopments%2Bon%2Bpeatland%2B-%2Bpeatland%2Bsurvey%2B-%2B2017.pdf,
Apr_2023,Land Use & Natural Resources,n_114,Peatland,Drainage Of Upland Peat,The amount of drainage to lower the water table on upland peat,,,Office for National Statistics,https://www.ons.gov.uk/economy/environmentalaccounts/bulletins/uknaturalcapitalforpeatlands/naturalcapitalaccounts,
Apr_2023,Land Use & Natural Resources,n_115,Peatland,Grassland For Grazing On Lowland Peat,The amount of grassland to graze animals on lowland peat,,,Office for National Statistics,UK natural capital - Office for National Statistics (ons.gov.uk),
Apr_2023,Land Use & Natural Resources,n_116,Peatland,Healthy Lowland Peatland,The amount of healthy lowland peat,0.31,% of un-favourable recovering core peatland habitat features designated SACS  ,"Department for Environment, Food & Rural Affairs",UK natural capital - Office for National Statistics (ons.gov.uk),
Apr_2023,Land Use & Natural Resources,n_117,Peatland,Healthy Upland Peatland,The amount of healthy upland peat,14,% of Upland Peatlands in Good Ecological Condition,Royal Society for the Protection of Birds,English upland peatlands report Jun14 Final_1.pdf (iucn-uk-peatlandprogramme.org),
Apr_2023,Land Use & Natural Resources,n_118,Peatland,Managed Moorland Burning,The extent of deliberate managed burning on moorland,,,IUCN,"Burning and Peatbogs, June 2011.pdf (iucn-uk-peatlandprogramme.org)",
Apr_2023,Land Use & Natural Resources,n_119,Peatland,Net Peatland Emissions,The net emissions for emitted/abated carbon by peatland,12.6,Million tonnes CO2 equivalent ,"Department for Business, Energy & Industrial Strategy","2019 UK Greenhouse Gas Emissions, Final Figures (publishing.service.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_120,Peatland,Optimum Lowland Water Table Height,The extent to which lowland peat is kept at the optimum water table height,,,,,
Apr_2023,Land Use & Natural Resources,n_121,Peatland,Optimum Upland Water Table Height,The extent to which upland peat is kept at the optimum water table height,,,,,
Apr_2023,Land Use & Natural Resources,n_122,Peatland,Peatland Restoration,The amount of conservation work done to restore peatland,35000,Hectares,"Department for Environment, Food & Rural Affairs",https://www.gov.uk/government/news/thousands-of-hectares-of-vital-peatland-to-be-restored-to-help-tackle-climate-change-and-protect-biodiversity,
Apr_2023,Land Use & Natural Resources,n_123,Peatland,Un-Vegetated Lowland Peat,The amount of lowland peat left unvegetated and exposed to the elements,,,,,
Apr_2023,Land Use & Natural Resources,n_124,Peatland,Wildfires On Peat,The number of wildfires occuring on peatland,,,,,
Apr_2023,Land Use & Natural Resources,n_125,Trees,Capacity/Education Of Workforce (E.G. Foresters),The capacity of the UK workforce to support the development of forests,,,,,
Apr_2023,Land Use & Natural Resources,n_126,Trees,Carbon Sequestration From Trees,The total amount of carbon sequestered by trees in the UK,8.3,Million tonnes CO2 equivalent ,"Department for Business, Energy & Industrial Strategy",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025296/9_Greenhouse_gas_removal_by_forests.pdf,
Apr_2023,Land Use & Natural Resources,n_127,Trees,Commercial Forestry,The amount of commercially grown forest in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_128,Trees,Incentives For Afforestation,The incentives that encourage landowners to plant new areas of forest,,,,,
Apr_2023,Land Use & Natural Resources,n_129,Trees,Market For Wood Products,The market for products made from wood e.g. timber for housing,9.6,Million tonnes of wood products produced in the UK,Forest Research,2: UK-Grown Timber - Forest Research,
Apr_2023,Land Use & Natural Resources,n_130,Trees,Natural Regeneration Of Trees,The rate at which trees naturally regenerate,,,,,
Apr_2023,Land Use & Natural Resources,n_131,Trees,Number Of Trees (And Land Under Trees),The total number of trees in the UK and area of land covered by trees,3.2,Million Hectares of the UK covered by woodland,House of Commons Library,Tree Planting in the UK (parliament.uk),
Apr_2023,Land Use & Natural Resources,n_132,Trees,Rate Of Tree Planting,The rate at which trees can be planted,13.29,Thousand Hectares of land with newly planted forest,"Department for Environment, Food & Rural Affairs",Ch1_Woodland_FS2020_cgadFu3.pdf (forestresearch.gov.uk),
Apr_2023,Land Use & Natural Resources,n_133,Trees,Resilience To Pest And Diseases,The resilence to tree pests and diseases of the UK forests,,,,,
Apr_2023,Land Use & Natural Resources,n_134,Trees,Stringency Of Forestry Regulation,The stringency of the regulations on tree planting and forestry,,,,,
Apr_2023,Land Use & Natural Resources,n_135,Trees,Tree Deaths,The rate of tree deaths,4.15,Thousand Hectares (kha) of  natural forest lost,Global Forest Watch,Global Forest Watch,
Apr_2023,Land Use & Natural Resources,n_136,Trees,Tree Nursery Capacity,The capacity of UK tree nurserys,750000,Approximate number of trees that can be planted at one time over 600 acres of Land,Hillier Trees,Why Hillier Trees,
Apr_2023,Land Use & Natural Resources,n_137,Trees,UK Timber Demand,The total market demand for UK timber,,,,,
Apr_2023,Land Use & Natural Resources,n_138,Trees,Urban Developments On Forested Area,The amount of urban development occuring on forested area,,,,,
Apr_2023,Land Use & Natural Resources,n_139,Trees,Market For Carbon Offsetting,The size of the UK market for carbon offsetting,,,,,
Apr_2023,Land Use & Natural Resources,n_140,Urban Development,Average Size Of Developments,The average size of urban developments in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_141,Urban Development,Carbon Emissions Of Urban Area,The total carbon emissions from urban areas,191.13,Million tonnes CO2 equivalent ,Centre for Cities,https://www.centreforcities.org/blog/cities-led-way-reducing-uk-carbon-emissions-tackle-transport-pollution/,
Apr_2023,Land Use & Natural Resources,n_142,Urban Development,Land For Civil Infrastructure,The amount of land used for civil infrastructure in the UK,,,,,
