"","data_name","Variable.ID.A","Variable.ID.B","Relationship","Source.organisation","Justification...quantifiable","Relationship.Strength","Weblink","data_version"
"41","System Map Data: Jan_2023","n_193","n_166","Same","","","High","",2
"42","System Map Data: Jan_2023","n_195","n_196","Same","","There doesn't appear to be any causal link here, and little correlation","Low","",2
"43","System Map Data: Jan_2023","n_196","n_191","Opposite","","","Low","",2
"44","System Map Data: Jan_2023","n_181","n_191","Same","","Increases by useful heat demand / CoP * change in number homes with heat pumps - useful heat demand x change in number of homes with electricity heating. Modelled to some degree in the NHM","Medium","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"45","System Map Data: Jan_2023","n_181","n_183","Same","","Hard to quantify variable B, so can't quantify the relationship. However, there is clearly a quantification of some kind in Frontier Economics' agent-based model of the heat market, since they model a ""multiplier effect"" of interaction between occupant agents.","Low","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"46","System Map Data: Jan_2023","n_182","n_191","Same","","Sensible proxy as an average would be the gas demand per dwelling x typical gas boiler efficiency, but depends on property type etc. Sources would be National Household Model and/or NEED.","Medium","https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021",2
"47","System Map Data: Jan_2023","n_183","n_174","Same","","Hard to quantify variable A, however it is included as a parameter in Frontier Economics' agent based modelling","Medium","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"48","System Map Data: Jan_2023","n_184","n_174","Same","","This is a necessary condition for heat pump installation, but the actual driver for installation would be more related to other factors.","Low","",2
"49","System Map Data: Jan_2023","n_187","n_193","Same","","This relationship is parametrised by the ""electricity grid demand"" variable (Carbon intensity factor x electricity demand = emissions from electricity)","High","",2
"50","System Map Data: Jan_2023","n_188","n_200","Opposite","","These are in the same units, but coincidence factor would also need to be accounted for. What proportion of the DSR is available at the same time as peak demand?","Medium","",2
"51","System Map Data: Jan_2023","n_189","n_188","Same","BEIS","Variable A is not quantifiable, so it is hard to quantify the relationship.","Medium","https://www.ofgem.gov.uk/sites/default/files/2021-06/%284%29%20CEPA-TNEI%20Modelling%20Methodology%20-%20Access%20SCR%20%281%29.pdf",2
"52","System Map Data: Jan_2023","n_191","n_193","Same","","This relationship is parametrised by the ""carbon intensity of electricity grid"" variable (Carbon intensity factor x electricity demand = emissions from electricity)","High","",2
"53","System Map Data: Jan_2023","n_191","n_200","Same","","This depends entirely on the shape of the demand. It is considered in the DNM. In the specific context of additional heat pumps, this was studied by Love et al in the paper listed as alternative source 1, where they find a14% increase in evening peak electricity demand in a scenario where 20% of homes have a heat pump installed.","Medium","",2
"54","System Map Data: Jan_2023","n_192","n_171","Same","","There are also maintenance costs, so electricity price isn't the only driver. It is likely to be by far the dominant driver though.","High","",2
"55","System Map Data: Jan_2023","n_197","n_187","Same","","","Low","",2
"56","System Map Data: Jan_2023","n_200","n_192","Same","","","Medium","https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model",2
"57","System Map Data: Jan_2023","n_202","n_165","Same","","Strictly, this would apply to average building heating energy demand","High","",2
"58","System Map Data: Jan_2023","n_203","n_202","Same","","","High","",2
"59","System Map Data: Jan_2023","n_220","n_221","Same","","This depends on competing demands, so not easy to quantify","High","",2
"60","System Map Data: Jan_2023","n_192","n_179","Same","","There are also maintenance costs, so electricity price isn't the only driver. It is likely to be by far the dominant driver though.","High","",2
"61","System Map Data: Jan_2023","n_193","n_163","Opposite","Air Quality Expert Group/Defra","Depends on the source of generation. With current grid mix, air quality would get worse. With future net zero sources (e.g. wind, solar) it may get better. But biomass may make it worse.","Medium","https://uk-air.defra.gov.uk/assets/documents/reports/cat09/2006240802_Impacts_of_Net_Zero_pathways_on_future_air_quality_in_the_UK.pdf",2
"62","System Map Data: Jan_2023","n_194","n_200","Opposite","","Assuming both storage and peak electricity demand are expressed in terms of power, one MW of storage should reduce peak demand by one MW.","Medium","",2
"63","System Map Data: Jan_2023","n_195","n_188","Same","","If both variables are measured in MW, this is a 1:1 relationship","Medium","https://www.theade.co.uk/assets/docs/resources/Lets_Talk_About_Flex_DigitalRep_FINAL-min.pdf",2
"64","System Map Data: Jan_2023","n_198","n_192","Same","BEIS","This is modelled in the NDM, but is unlikely to be capturable as a single value. Ofgem/CEPA also have a distribution network model linked to in the alternative sources.","Low","",2
"65","System Map Data: Jan_2023","n_199","n_187","Opposite","","Depends on many factors, including if biomass is used, and what other generation is being displaced.","High","https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model",2
"66","System Map Data: Jan_2023","n_200","n_197","Same","BEIS","This will depend on size, timing, and availability of other peaking technologies like grid-scale storage","Medium","https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model",2
"67","System Map Data: Jan_2023","n_200","n_198","Same","BEIS","This is modelled in the NDM, but is unlikely to be capturable as a single value. Ofgem/CEPA also have a distribution network model linked to in the alternative sources.","Medium","",2
"68","System Map Data: Jan_2023","n_202","n_191","Same","","Proportion of residential demand which is electricity","High","https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021",2
"69","System Map Data: Jan_2023","n_202","n_234","Same","","Proportion of average energy demand that is from gas (calculated from NEED Tables 13 & 14)","High","https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021",2
"70","System Map Data: Jan_2023","n_204","n_203","Same","","This is a relatively simple relationship, but can't be captured by a single parameter. It can be modelled by thermal models like SAP or SBEM for individual buildings.","Medium","",2
"71","System Map Data: Jan_2023","n_205","n_203","Same","","This is the heat loss coefficient, but data is available in the National Household Model which breaks this down by dwelling archetype.","High","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"72","System Map Data: Jan_2023","n_220","n_228","Same","","","Low","",2
"73","System Map Data: Jan_2023","n_221","n_232","Same","","Each unit available displaces a unit of natural gas","High","",2
"74","System Map Data: Jan_2023","n_222","n_224","Same","","Variable B isn't well-defined so hard to quantify this relationship","Medium","",2
"75","System Map Data: Jan_2023","n_222","n_229","Same","","Likely to be a complex relationship, depending on competing uses for viable land.","Medium","",2
"76","System Map Data: Jan_2023","n_223","n_230","Same","","Annual demand for gas","High","",2
"77","System Map Data: Jan_2023","n_206","n_216","Opposite","","This is modelled in the NIC/Frontier Economics agent based model","Medium","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"78","System Map Data: Jan_2023","n_207","n_216","Opposite","","The level of disruption varies between types of insulation, but where there is disruption it does play a significant role. From the linked report, ""many feel the hassle factor is a significant barrier to insulating their loft"" and ""the lack of disruption to the
interior of the home adds to the appeal [of cavity wall insulation].""","Medium","https://www.citizensadvice.org.uk/Global/CitizensAdvice/Energy/Driving%20Installation%20of%20Energy%20Efficiency%20Measures-%20Customer%20Research%20Findings.pdf",2
"79","System Map Data: Jan_2023","n_208","n_210","Same","","More efficient new buildings will increase the average efficiency of buildings.","Medium","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"80","System Map Data: Jan_2023","n_209","n_203","Opposite","","Hard to quantify variable A, so can't quantify the relationship.","Low","",2
"81","System Map Data: Jan_2023","n_210","n_203","Opposite","","Depends on occupied hours, occupant behaviour, etc.","Medium","",2
"82","System Map Data: Jan_2023","n_210","n_205","Same","Department for Levelling Up, Housing and Communities","","Low","",2
"83","System Map Data: Jan_2023","n_210","n_184","Same","","","Medium","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"84","System Map Data: Jan_2023","n_211","n_201","Same","BEIS","","High","",2
"85","System Map Data: Jan_2023","n_211","n_188","Same","BEIS","The amount of response provided per smart meter depends on the equipment in the home, and patterns of use.","High","",2
"86","System Map Data: Jan_2023","n_211","n_209","Same","Smart Energy GB / Populus","Hard to quantify variable B, so can't quantify the relationship","Low","https://www.smartenergygb.org/media/s3ujojpg/smart-meters-and-energy-usage-may-2019.pdf",2
"87","System Map Data: Jan_2023","n_212","n_208","Same","","It's not possible to quantify variable A so hard to quantify this relationship.","Medium","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"88","System Map Data: Jan_2023","n_213","n_209","Same","","Hard to quantify variables, so can't quantify the relationship. Hard to think of a proxy which would capture the relationship in a useful way.","Low","",2
"89","System Map Data: Jan_2023","n_214","n_208","Same","","It's not possible to quantify variable A so hard to quantify this relationship.","Low","",2
"90","System Map Data: Jan_2023","n_214","n_209","Same","","It's not possible to quantify either variable so hard to quantify this relationship.","Medium","",2
"91","System Map Data: Jan_2023","n_214","n_211","Same","","Variable A isn't quantifiable so hard to quantify this relationship","Medium","",2
"92","System Map Data: Jan_2023","n_214","n_215","Same","","Impact assessments of individual incentives, ideally where the implement->measure part of the cycle has been conducted, or alternatively using agent based modelling like the NIC/Frontier Economics model.","Medium","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"93","System Map Data: Jan_2023","n_214","n_205","Opposite","","It's not possible to quantify variable A so hard to quantify this relationship.","Medium","",2
"94","System Map Data: Jan_2023","n_215","n_216","Same","","It's not possible to quantify variable A so hard to quantify this relationship.","Medium","",2
"95","System Map Data: Jan_2023","n_219","n_224","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Low","",2
"96","System Map Data: Jan_2023","n_216","n_210","Same","","Each type of insulation will have an individual effect, and these will also interact.","High","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"97","System Map Data: Jan_2023","n_217","n_220","Same","","Each feedstock has a typical yield per tonne","High","https://www.ieabioenergy.com/wp-content/uploads/2011/10/Update_Energy_crop_2011.pdf",2
"98","System Map Data: Jan_2023","n_217","n_224","Same","","While commercial viability is hard to define, Birch Solutions point to control of the feedstock being a critical factor in assessing ROI.","Medium","https://birchsolutions.co.uk/is-biogas-production-a-profitable-business-model/",2
"99","System Map Data: Jan_2023","n_218","n_217","Same","","This is related to the proportion of feedstocks from waste","Medium","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods",2
"100","System Map Data: Jan_2023","n_220","n_163","Opposite","","This depends on 1) how much biogas is produced? 2) what does biogas production displace? 3) how is the biogas used? 4) what metric is used for air quality?","Low","https://www.tandfonline.com/doi/full/10.1080/10934529.2018.1459076",2
"101","System Map Data: Jan_2023","n_220","n_226","Same","","Proportion of feedstock which becomes digestate is 90-95% by volume, but it's not clear how much fertiliser this displaces.","High","https://www.biogas-info.co.uk/about/digestate/",2
"102","System Map Data: Jan_2023","n_221","n_186","Same","","We could assume that each unit of biogas used for heating reduces biogas available for generation, but this doesn't account for CHP.","High","",2
"103","System Map Data: Jan_2023","n_224","n_231","Same","","Variable A isn't quantifiable so hard to quantify this relationship","Medium","",2
"104","System Map Data: Jan_2023","n_225","n_221","Opposite","","Primarily this is for electricity generation, but other uses exist.","Medium","",2
"105","System Map Data: Jan_2023","n_226","n_166","Opposite","European Biogas Association","Likely more complicated than this one figure suggests. This is for replacing mineral fertiliser.","Low","https://www.pollutionsolutions-online.com/article/water-wastewater/17/european-biogas-association/the-use-of-digestate-as-an-organic-fertiliser/1593",2
"106","System Map Data: Jan_2023","n_227","n_233","Same","","Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.","High","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1011283/UK-Hydrogen-Strategy_web.pdf",2
"107","System Map Data: Jan_2023","n_227","n_191","Same","","Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.","Low","",2
"108","System Map Data: Jan_2023","n_227","n_234","Same","","Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.","Low","",2
"109","System Map Data: Jan_2023","n_228","n_224","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Medium","",2
"110","System Map Data: Jan_2023","n_229","n_166","Same","","","Low","",2
"111","System Map Data: Jan_2023","n_3","n_21","Same","","","Medium","",2
"112","System Map Data: Jan_2023","n_85","n_92","Opposite","University of Edinburgh","","Medium","",2
"113","System Map Data: Jan_2023","n_131","n_71","Opposite","Annual Reviews","""Habitat fragmentation"" is a very general term - not possible to assess quantitatively or qualitatively ","Medium","",2
"114","System Map Data: Jan_2023","n_229","n_217","Same","","This is related to the productivity of the land and crops grown","Medium","https://www.ieabioenergy.com/wp-content/uploads/2011/10/Update_Energy_crop_2011.pdf",2
"115","System Map Data: Jan_2023","n_230","n_163","Opposite","","Net emissions / carbon intensity of gas * (whatever air quality proxy/kWh)","Medium","https://www.tandfonline.com/doi/full/10.1080/10934529.2018.1459076",2
"116","System Map Data: Jan_2023","n_230","n_166","Same","","","High","",2
"117","System Map Data: Jan_2023","n_231","n_219","Same","","Jobs per plant","High","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/48341/5131-uk-jobs-in-the-bioenergy-sectors-by-2020.pdf",2
"118","System Map Data: Jan_2023","n_231","n_220","Same","","Average production per plant. Depends on the type of plant, feedstock/s used, etc","High","",2
"119","System Map Data: Jan_2023","n_231","n_229","Same","","Depends on the proportion of plants using UK grown crops as feedstock.","Medium","",2
"120","System Map Data: Jan_2023","n_232","n_223","Opposite","BEIS","Relative carbon intensity per unit energy of biomethane vs current gas grid. Depends on the source of biomethane","Medium","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1036982/ghg-savings-methodology.pdf",2
"121","System Map Data: Jan_2023","n_233","n_223","Opposite","BEIS/E4Tech","Relative carbon intensity per unit energy of hydrogen vs current gas grid. This depends on the source of hydrogen, and boundaries drawn, since combustion of hydrogen produces very little GHG, but production can be very high in emissions.","Medium","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1011283/UK-Hydrogen-Strategy_web.pdf",2
"122","System Map Data: Jan_2023","n_236","n_174","Same","","Not able to find anything on price elasticity of demand for heat pumps, but the agent based approach developed by Frontier Economics for NIC provides a model","Medium","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"123","System Map Data: Jan_2023","n_236","n_182","Same","","Not able to find anything on price elasticity of demand for electric heating, but the agent based approach developed by Frontier Economics for NIC provides a model","Low","https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf",2
"124","System Map Data: Jan_2023","n_237","n_176","Opposite","","The mechanism would be that heat pump engineers would respond to the demand for gas boiler skills by shifting industry. Since variable A is not well quantified, it's hard to quantity the relationship.","Low","",2
"125","System Map Data: Jan_2023","n_238","n_242","Same","","","Medium","",2
"126","System Map Data: Jan_2023","n_239","n_243","Opposite","","In conjunction with gas price, efficiency is the other main driver of running costs. However, variability in gas boiler efficiency is very low","Low","",2
"127","System Map Data: Jan_2023","n_239","n_234","Opposite","","","Low","",2
"128","System Map Data: Jan_2023","n_240","n_237","Same","","Hard to quantify variable B, so can't quantify the relationship","High","",2
"129","System Map Data: Jan_2023","n_240","n_245","Same","","","Medium","",2
"130","System Map Data: Jan_2023","n_242","n_236","Same","","","High","",2
"131","System Map Data: Jan_2023","n_243","n_242","Same","","","High","",2
"132","System Map Data: Jan_2023","n_243","n_165","Same","","","High","",2
"133","System Map Data: Jan_2023","n_234","n_244","Same","","Gas price is not significantly driven by demand at the UK level, although it plays a part. ","Medium","",2
"134","System Map Data: Jan_2023","n_234","n_230","Same","","This is parametrised by the ""Carbon intensity of gas grid"" variable","High","",2
"135","System Map Data: Jan_2023","n_240","n_241","Same","","55% of boilers installed in the UK are manufactured here","High","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf",2
"136","System Map Data: Jan_2023","n_241","n_238","Opposite","CraveZERO/EU","Learning rate captures the reduction in cost per doubling of installed capacity. Given the maturity of gas boiler technology, there is no longer much effect per boiler manufactured. See table 3 in the linked source.","Low","https://www.cravezero.eu/wp-content/uploads/2018/09/CRAVEzero_D41_nZEB-Technologies.pdf",2
"137","System Map Data: Jan_2023","n_241","n_180","Opposite","Eunomia/BEIS","","Low","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf",2
"138","System Map Data: Jan_2023","n_242","n_240","Opposite","","Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).","Medium","http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf",2
"139","System Map Data: Jan_2023","n_244","n_243","Same","","There are also maintenance costs, so gas price isn't the only driver. It is likely to be by far the dominant driver though.","High","",2
"140","System Map Data: Jan_2023","n_244","n_224","Same","","","Medium","",2
"141","System Map Data: Jan_2023","n_245","n_237","Same","","Variable B isn't well-defined so hard to quantify this relationship","High","",2
"142","System Map Data: Jan_2023","n_245","n_234","Same","","Simplest proxy would be average heating demand per house","High","https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model",2
"143","System Map Data: Jan_2023","n_245","n_235","Opposite","Frontier Economics/National Infrastructure Commissionº","It's difficult to quantify variable B, so hard to quantify the relationship. There is likely to be a tipping point so this is a non-linear relationship.","Low","",2
"144","System Map Data: Jan_2023","n_246","n_251","Same","","Hard to quantify variable A or variable B, so can't quantify the relationship","Medium","",2
"145","System Map Data: Jan_2023","n_247","n_246","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Medium","",2
"146","System Map Data: Jan_2023","n_247","n_248","Same","BEIS","Hard to quantify variable B, so can't quantify the relationship","Medium","",2
"147","System Map Data: Jan_2023","n_247","n_188","Same","T. Sweetnam et al","","Medium","https://www.tandfonline.com/doi/abs/10.1080/09613218.2018.1426314?journalCode=rbri20",2
"148","System Map Data: Jan_2023","n_247","n_167","Same","BEIS","Hard to quantify variable B, so can't quantify the relationship","Low","",2
"149","System Map Data: Jan_2023","n_247","n_191","Same","BEIS","Depends on proportion of heat pumps, average CoP, average building demand, degree of electricity used for backup for non-heat pumps, etc","Medium","",2
"150","System Map Data: Jan_2023","n_247","n_254","Same","","Proportion of (planned?) networks using waste/recovered heat x number of buildings per network x demand per building","Low","",2
"151","System Map Data: Jan_2023","n_248","n_252","Opposite","","Variable A isn't quantifiable so hard to quantify this relationship","Medium","",2
"152","System Map Data: Jan_2023","n_249","n_191","Opposite","","Since we have quantified Existing CHP networks in terms of electricity supplied, this is a 1:1 relationship.","Low","",2
"153","System Map Data: Jan_2023","n_2","n_20","Same","","","Low","",2
"154","System Map Data: Jan_2023","n_249","n_234","Same","","Since we have quantified Existing CHP networks in terms of electricity supplied, there are multiple factors at play. The fuel used (72% of plant use natural gas), the ratio of heat:power, and the overall efficiency of the plant.","Medium","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1023281/DUKES_2021_Chapter_7_Combined_heat_and_power.pdf",2
"155","System Map Data: Jan_2023","n_250","n_247","Same","","Average number of customers per heat network (14,000 networks / 500,000 customers). This is for all existing heat networks, not just green heat networks. Cited source is BEIS, ""Heat networks: ensuring sustained investment and protecting consumers""","High","https://post.parliament.uk/research-briefings/post-pn-0632",2
"156","System Map Data: Jan_2023","n_250","n_248","Same","BEIS","Variable B isn't well-defined so hard to quantify this relationship. There is some discussion of this relationship in the Heat Networks Skills Review, but no quantification.","Medium","https://www.gov.uk/government/publications/heat-network-skills-review",2
"157","System Map Data: Jan_2023","n_250","n_249","Opposite","","Can't see a realistic way to estimate the proportion of new connections to green heat networks that are due to retrofit to existing CHP. It will fall if the number of existing gas CHP networks gets smaller.","Low","",2
"158","System Map Data: Jan_2023","n_250","n_253","Same","","What is the likelihood that a new heat network is developed by a new organisation. The picture is that most organisations run a single network, so most new networks will mean a new operator.","Medium","",2
"159","System Map Data: Jan_2023","n_251","n_250","Same","","Hard to quantify variable A, so can't quantify the relationship","Medium","",2
"160","System Map Data: Jan_2023","n_252","n_251","Opposite","","Variable B is not well defined","Medium","",2
"161","System Map Data: Jan_2023","n_253","n_252","Opposite","","","Medium","",2
"162","System Map Data: Jan_2023","n_254","n_191","Opposite","","","Medium","",2
"163","System Map Data: Jan_2023","n_458","n_165","Same","","","Low","",2
"164","System Map Data: Jan_2023","n_165","n_459","Opposite","","","Low","",2
"165","System Map Data: Jan_2023","n_459","n_216","Same","","","Medium","",2
"166","System Map Data: Jan_2023","n_459","n_174","Same","","","Medium","",2
"167","System Map Data: Jan_2023","n_460","n_216","Same","","","Low","",2
"168","System Map Data: Jan_2023","n_460","n_174","Same","","","Low","",2
"169","System Map Data: Jan_2023","n_459","n_461","Same","","","Medium","",2
"170","System Map Data: Jan_2023","n_461","n_210","Same","","","Medium","",2
"171","System Map Data: Jan_2023","n_462","n_208","Same","","","High","",2
"172","System Map Data: Jan_2023","n_462","n_216","Same","","","High","",2
"173","System Map Data: Jan_2023","n_463","n_206","Same","","","Medium","",2
"174","System Map Data: Jan_2023","n_464","n_206","Opposite","","","Medium","",2
"175","System Map Data: Jan_2023","n_464","n_207","Opposite","","","Medium","",2
"176","System Map Data: Jan_2023","n_216","n_464","Same","","","Medium","",2
"177","System Map Data: Jan_2023","n_465","n_216","Same","","","Medium","",2
"178","System Map Data: Jan_2023","n_466","n_207","Opposite","","","Low","",2
"179","System Map Data: Jan_2023","n_466","n_465","Same","","","Medium","",2
"180","System Map Data: Jan_2023","n_466","n_215","Same","","","Medium","",2
"181","System Map Data: Jan_2023","n_467","n_465","Same","","","Low","",2
"182","System Map Data: Jan_2023","n_205","n_215","Opposite","","","Low","",2
"183","System Map Data: Jan_2023","n_468","n_183","Same","","","Medium","",2
"184","System Map Data: Jan_2023","n_4","n_17","Same","Department for Food, Environment and Rural Affairs

Government Statistical Service","Difficult to  provide a quantitative and qualitative assessment as viability is a very general term - would need to be more precisely defined. Also - there could be many factors affecting viability (changing climate conditions, access to land to expand, demand for produce) - yield/productivity improvements would certainly help, but the precise impact is difficult to estimate quantitatively or qualitatively. Suggest this could be done qualitatively in the future, focussing on  few specific farm types","Medium","",2
"185","System Map Data: Jan_2023","n_4","n_25","Opposite","","Not clear on this relationship - think this is complex to unpick. Likely true, however, may not necessarily lead to a reduction in imports if improvements in productivity leads to higher yielding crops, and extra yield is all exported. ","Low","",2
