data_name,Variable ID A,Variable ID B,Relationship,Source organisation,Justification - quantifiable,Relationship Strength,Weblink
Apr_2023,n_205,n_203,Same,,"This is the heat loss coefficient, but data is available in the National Household Model which breaks this down by dwelling archetype.",High,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_206,n_216,Opposite,,This is modelled in the NIC/Frontier Economics agent based model,Medium,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_207,n_216,Opposite,,"The level of disruption varies between types of insulation, but where there is disruption it does play a significant role. From the linked report, ""many feel the hassle factor is a significant barrier to insulating their loft"" and ""the lack of disruption to the
interior of the home adds to the appeal [of cavity wall insulation].""",Medium,https://www.citizensadvice.org.uk/Global/CitizensAdvice/Energy/Driving%20Installation%20of%20Energy%20Efficiency%20Measures-%20Customer%20Research%20Findings.pdf
Apr_2023,n_208,n_210,Same,,More efficient new buildings will increase the average efficiency of buildings.,Medium,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_209,n_203,Opposite,,"Hard to quantify variable A, so can't quantify the relationship.",Low,
Apr_2023,n_210,n_203,Opposite,,"Depends on occupied hours, occupant behaviour, etc.",Medium,
Apr_2023,n_210,n_205,Same,"Department for Levelling Up, Housing and Communities",,Low,
Apr_2023,n_210,n_184,Same,,,Medium,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_211,n_201,Same,BEIS,,High,
Apr_2023,n_211,n_188,Same,BEIS,"The amount of response provided per smart meter depends on the equipment in the home, and patterns of use.",High,
Apr_2023,n_211,n_209,Same,Smart Energy GB / Populus,"Hard to quantify variable B, so can't quantify the relationship",Low,https://www.smartenergygb.org/media/s3ujojpg/smart-meters-and-energy-usage-may-2019.pdf
Apr_2023,n_212,n_208,Same,,It's not possible to quantify variable A so hard to quantify this relationship.,Medium,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_213,n_209,Same,,"Hard to quantify variables, so can't quantify the relationship. Hard to think of a proxy which would capture the relationship in a useful way.",Low,
Apr_2023,n_214,n_208,Same,,It's not possible to quantify variable A so hard to quantify this relationship.,Low,
Apr_2023,n_214,n_209,Same,,It's not possible to quantify either variable so hard to quantify this relationship.,Medium,
Apr_2023,n_214,n_211,Same,,Variable A isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_214,n_215,Same,,"Impact assessments of individual incentives, ideally where the implement->measure part of the cycle has been conducted, or alternatively using agent based modelling like the NIC/Frontier Economics model.",Medium,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_214,n_205,Opposite,,It's not possible to quantify variable A so hard to quantify this relationship.,Medium,
Apr_2023,n_215,n_216,Same,,It's not possible to quantify variable A so hard to quantify this relationship.,Medium,
Apr_2023,n_216,n_210,Same,,"Each type of insulation will have an individual effect, and these will also interact.",High,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_217,n_220,Same,,Each feedstock has a typical yield per tonne,High,https://www.ieabioenergy.com/wp-content/uploads/2011/10/Update_Energy_crop_2011.pdf
Apr_2023,n_217,n_224,Same,,"While commercial viability is hard to define, Birch Solutions point to control of the feedstock being a critical factor in assessing ROI.",Medium,https://birchsolutions.co.uk/is-biogas-production-a-profitable-business-model/
Apr_2023,n_218,n_217,Same,,This is related to the proportion of feedstocks from waste,Medium,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039249/nonfood-dataset-9dec21.ods
Apr_2023,n_219,n_224,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Low,
Apr_2023,n_220,n_163,Opposite,,This depends on 1) how much biogas is produced? 2) what does biogas production displace? 3) how is the biogas used? 4) what metric is used for air quality?,Low,https://www.tandfonline.com/doi/full/10.1080/10934529.2018.1459076
Apr_2023,n_220,n_221,Same,,"This depends on competing demands, so not easy to quantify",High,
Apr_2023,n_220,n_226,Same,,"Proportion of feedstock which becomes digestate is 90-95% by volume, but it's not clear how much fertiliser this displaces.",High,https://www.biogas-info.co.uk/about/digestate/
Apr_2023,n_220,n_228,Same,,,Low,
Apr_2023,n_221,n_186,Same,,"We could assume that each unit of biogas used for heating reduces biogas available for generation, but this doesn't account for CHP.",High,
Apr_2023,n_221,n_232,Same,,Each unit available displaces a unit of natural gas,High,
Apr_2023,n_222,n_224,Same,,Variable B isn't well-defined so hard to quantify this relationship,Medium,
Apr_2023,n_222,n_229,Same,,"Likely to be a complex relationship, depending on competing uses for viable land.",Medium,
Apr_2023,n_223,n_230,Same,,Annual demand for gas,High,
Apr_2023,n_224,n_231,Same,,Variable A isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_225,n_221,Opposite,,"Primarily this is for electricity generation, but other uses exist.",Medium,
Apr_2023,n_226,n_166,Opposite,European Biogas Association,Likely more complicated than this one figure suggests. This is for replacing mineral fertiliser.,Low,https://www.pollutionsolutions-online.com/article/water-wastewater/17/european-biogas-association/the-use-of-digestate-as-an-organic-fertiliser/1593
Apr_2023,n_227,n_233,Same,,"Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.",High,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1011283/UK-Hydrogen-Strategy_web.pdf
Apr_2023,n_227,n_191,Same,,"Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.",Low,
Apr_2023,n_227,n_234,Same,,"Currently, essentially none of the available hydrogen goes into the gas grid. What proportion may do so in the future depends on a wide range of factors.",Low,
Apr_2023,n_228,n_224,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_229,n_166,Same,,,Low,
Apr_2023,n_229,n_217,Same,,This is related to the productivity of the land and crops grown,Medium,https://www.ieabioenergy.com/wp-content/uploads/2011/10/Update_Energy_crop_2011.pdf
Apr_2023,n_230,n_163,Opposite,,Net emissions / carbon intensity of gas * (whatever air quality proxy/kWh),Medium,https://www.tandfonline.com/doi/full/10.1080/10934529.2018.1459076
Apr_2023,n_230,n_166,Same,,,High,
Apr_2023,n_231,n_219,Same,,Jobs per plant,High,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/48341/5131-uk-jobs-in-the-bioenergy-sectors-by-2020.pdf
Apr_2023,n_231,n_220,Same,,"Average production per plant. Depends on the type of plant, feedstock/s used, etc",High,
Apr_2023,n_231,n_229,Same,,Depends on the proportion of plants using UK grown crops as feedstock.,Medium,
Apr_2023,n_232,n_223,Opposite,BEIS,Relative carbon intensity per unit energy of biomethane vs current gas grid. Depends on the source of biomethane,Medium,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1036982/ghg-savings-methodology.pdf
Apr_2023,n_233,n_223,Opposite,BEIS/E4Tech,"Relative carbon intensity per unit energy of hydrogen vs current gas grid. This depends on the source of hydrogen, and boundaries drawn, since combustion of hydrogen produces very little GHG, but production can be very high in emissions.",Medium,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1011283/UK-Hydrogen-Strategy_web.pdf
Apr_2023,n_236,n_174,Same,,"Not able to find anything on price elasticity of demand for heat pumps, but the agent based approach developed by Frontier Economics for NIC provides a model",Medium,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_236,n_182,Same,,"Not able to find anything on price elasticity of demand for electric heating, but the agent based approach developed by Frontier Economics for NIC provides a model",Low,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_237,n_176,Opposite,,"The mechanism would be that heat pump engineers would respond to the demand for gas boiler skills by shifting industry. Since variable A is not well quantified, it's hard to quantity the relationship.",Low,
Apr_2023,n_238,n_242,Same,,,Medium,
Apr_2023,n_239,n_243,Opposite,,"In conjunction with gas price, efficiency is the other main driver of running costs. However, variability in gas boiler efficiency is very low",Low,
Apr_2023,n_239,n_234,Opposite,,,Low,
Apr_2023,n_240,n_237,Same,,"Hard to quantify variable B, so can't quantify the relationship",High,
Apr_2023,n_240,n_241,Same,,55% of boilers installed in the UK are manufactured here,High,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf
Apr_2023,n_240,n_245,Same,,,Medium,
Apr_2023,n_241,n_238,Opposite,CraveZERO/EU,"Learning rate captures the reduction in cost per doubling of installed capacity. Given the maturity of gas boiler technology, there is no longer much effect per boiler manufactured. See table 3 in the linked source.",Low,https://www.cravezero.eu/wp-content/uploads/2018/09/CRAVEzero_D41_nZEB-Technologies.pdf
Apr_2023,n_241,n_180,Opposite,Eunomia/BEIS,,Low,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf
Apr_2023,n_242,n_236,Same,,,High,
Apr_2023,n_242,n_240,Opposite,,"Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).",Medium,http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf
Apr_2023,n_243,n_242,Same,,,High,
Apr_2023,n_243,n_165,Same,,,High,
Apr_2023,n_234,n_244,Same,,"Gas price is not significantly driven by demand at the UK level, although it plays a part. ",Medium,
Apr_2023,n_234,n_230,Same,,"This is parametrised by the ""Carbon intensity of gas grid"" variable",High,
Apr_2023,n_244,n_243,Same,,"There are also maintenance costs, so gas price isn't the only driver. It is likely to be by far the dominant driver though.",High,
Apr_2023,n_244,n_224,Same,,,Medium,
Apr_2023,n_245,n_237,Same,,Variable B isn't well-defined so hard to quantify this relationship,High,
Apr_2023,n_245,n_234,Same,,Simplest proxy would be average heating demand per house,High,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_245,n_235,Opposite,Frontier Economics/National Infrastructure Commissionº,"It's difficult to quantify variable B, so hard to quantify the relationship. There is likely to be a tipping point so this is a non-linear relationship.",Low,
Apr_2023,n_246,n_251,Same,,"Hard to quantify variable A or variable B, so can't quantify the relationship",Medium,
Apr_2023,n_247,n_246,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_247,n_248,Same,BEIS,"Hard to quantify variable B, so can't quantify the relationship",Medium,
Apr_2023,n_247,n_188,Same,T. Sweetnam et al,,Medium,https://www.tandfonline.com/doi/abs/10.1080/09613218.2018.1426314?journalCode=rbri20
Apr_2023,n_247,n_167,Same,BEIS,"Hard to quantify variable B, so can't quantify the relationship",Low,
Apr_2023,n_247,n_191,Same,BEIS,"Depends on proportion of heat pumps, average CoP, average building demand, degree of electricity used for backup for non-heat pumps, etc",Medium,
Apr_2023,n_247,n_254,Same,,Proportion of (planned?) networks using waste/recovered heat x number of buildings per network x demand per building,Low,
Apr_2023,n_248,n_252,Opposite,,Variable A isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_249,n_191,Opposite,,"Since we have quantified Existing CHP networks in terms of electricity supplied, this is a 1:1 relationship.",Low,
Apr_2023,n_249,n_234,Same,,"Since we have quantified Existing CHP networks in terms of electricity supplied, there are multiple factors at play. The fuel used (72% of plant use natural gas), the ratio of heat:power, and the overall efficiency of the plant.",Medium,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1023281/DUKES_2021_Chapter_7_Combined_heat_and_power.pdf
Apr_2023,n_250,n_247,Same,,"Average number of customers per heat network (14,000 networks / 500,000 customers). This is for all existing heat networks, not just green heat networks. Cited source is BEIS, ""Heat networks: ensuring sustained investment and protecting consumers""",High,https://post.parliament.uk/research-briefings/post-pn-0632
Apr_2023,n_250,n_248,Same,BEIS,"Variable B isn't well-defined so hard to quantify this relationship. There is some discussion of this relationship in the Heat Networks Skills Review, but no quantification.",Medium,https://www.gov.uk/government/publications/heat-network-skills-review
Apr_2023,n_250,n_249,Opposite,,Can't see a realistic way to estimate the proportion of new connections to green heat networks that are due to retrofit to existing CHP. It will fall if the number of existing gas CHP networks gets smaller.,Low,
Apr_2023,n_250,n_253,Same,,"What is the likelihood that a new heat network is developed by a new organisation. The picture is that most organisations run a single network, so most new networks will mean a new operator.",Medium,
Apr_2023,n_251,n_250,Same,,"Hard to quantify variable A, so can't quantify the relationship",Medium,
Apr_2023,n_252,n_251,Opposite,,Variable B is not well defined,Medium,
Apr_2023,n_253,n_252,Opposite,,,Medium,
Apr_2023,n_254,n_191,Opposite,,,Medium,
Apr_2023,n_458,n_165,Same,,,Low,
Apr_2023,n_165,n_459,Opposite,,,Low,
Apr_2023,n_459,n_216,Same,,,Medium,
Apr_2023,n_459,n_174,Same,,,Medium,
Apr_2023,n_460,n_216,Same,,,Low,
Apr_2023,n_460,n_174,Same,,,Low,
Apr_2023,n_459,n_461,Same,,,Medium,
Apr_2023,n_461,n_210,Same,,,Medium,
Apr_2023,n_462,n_208,Same,,,High,
Apr_2023,n_462,n_216,Same,,,High,
Apr_2023,n_463,n_206,Same,,,Medium,
Apr_2023,n_464,n_206,Opposite,,,Medium,
Apr_2023,n_464,n_207,Opposite,,,Medium,
Apr_2023,n_216,n_464,Same,,,Medium,
Apr_2023,n_465,n_216,Same,,,Medium,
Apr_2023,n_466,n_207,Opposite,,,Low,
Apr_2023,n_466,n_465,Same,,,Medium,
Apr_2023,n_466,n_215,Same,,,Medium,
Apr_2023,n_467,n_465,Same,,,Low,
Apr_2023,n_205,n_215,Opposite,,,Low,
Apr_2023,n_468,n_183,Same,,,Medium,
Apr_2023,n_2,n_20,Same,,,Low,
Apr_2023,n_3,n_21,Same,,,Medium,
Apr_2023,n_4,n_17,Same,"Department for Food, Environment and Rural Affairs

Government Statistical Service","Difficult to  provide a quantitative and qualitative assessment as viability is a very general term - would need to be more precisely defined. Also - there could be many factors affecting viability (changing climate conditions, access to land to expand, demand for produce) - yield/productivity improvements would certainly help, but the precise impact is difficult to estimate quantitatively or qualitatively. Suggest this could be done qualitatively in the future, focussing on  few specific farm types",Medium,
Apr_2023,n_4,n_25,Opposite,,"Not clear on this relationship - think this is complex to unpick. Likely true, however, may not necessarily lead to a reduction in imports if improvements in productivity leads to higher yielding crops, and extra yield is all exported. ",Low,
Apr_2023,n_4,n_28,Opposite,,"Difficult to  provide a quantitative and qualitative assessment as this this is complex. Likely true, but if crop productivity increases, it might become more profitable to shift towards cropping (decrease livestock, especially in mixed farm systems).",Low,
Apr_2023,n_5,n_31,Same,Eurostat Statistics Explained,"Check commentary in 'Justification, direction' - variable B is a subset of variable A. Hard to precisely define a relationship. If artificial input usage increases, all else equal, we would expect mineral fertiliser usage to increase (but it may not necessarily be the case.",High,
Apr_2023,n_5,n_34,Same,Health and Safety Executive,"Check commentary in 'Justification, direction' - variable B is a subset of variable A. Hard to precisely define a relationship. If artificial input usage increases, all else equal, we would expect pesticide usage to increase (but it may not necessarily be the case) ",High,
Apr_2023,n_6,n_49,Same,"Department for Food, Environment and Rural Affairs","Crop residues can be used as fuel for AD. However, would require a more precise definition of 'availability' (for both variables)

Further, the amount of crop residue left varies depending on the measurement system, and on the type of crops (and also would vary by region across the UK). Not possible to define as a single parameter",Medium,
Apr_2023,n_7,n_17,Same,,,Medium,
Apr_2023,n_7,n_62,Same,,,Low,
Apr_2023,n_8,n_7,Same,,,Low,
Apr_2023,n_8,n_18,Same,,,High,
Apr_2023,n_9,n_5,Opposite,University of Oxford,Difficult to quantify or qualitatively assess - depends on many different factors.,Low,
Apr_2023,n_9,n_158,Opposite,,Difficult to assess qualitatively or quantitatively - depends on the type of crop and farming system,Low,
Apr_2023,n_9,n_35,Same,,Both terms are too general to be quantified or qualitatively assessed,Low,
Apr_2023,n_10,n_35,Opposite,,,Low,
Apr_2023,n_10,n_19,Same,,Both terms are too general to be quantified or qualitatively assessed,Medium,
Apr_2023,n_11,n_4,Same,PNAS,"Qualitative - Difficult to provide a single parameter as overall improvement in agricultural productivity/yield vary significantly by crop type (and specifics of climate) and most data surrounding controlled environment agriculture are based on future predictions. 

The infographic from the source shows that the strength of the relationship between the two variables is high.
",Medium,Why Controlled Environment Agriculture (CEA) is the future of farming (danthermgroup.com)
Apr_2023,n_11,n_24,Same,Cornell,Difficult to quantify given different types of CEA (especially crops) - suggest however that this link is high,Medium,
Apr_2023,n_11,n_73,Opposite,Evening Standard,Impact on landscape character is context specific and very difficult to assess in these general terms.,Low,
Apr_2023,n_11,n_158,Same,Arig-TechE,Controlled Environment Production isolates crops from weather and external bodies of water so an on-farm irrigation system is required.,Medium,
Apr_2023,n_12,n_38,Same,,Check this definition - why is crop 'import' transport emissions being included under CO2e emissions from crop 'production'? ,Low,
Apr_2023,n_13,n_14,Opposite,McKinsey & Co. ,"Not able to be quantitatively or qualitatively assessed - on-farm carbon savings could be realised in areas that reduce emissions from motive power, or in areas that are not related to emissions from motive power ",Medium,
Apr_2023,n_13,n_24,Opposite,,"Not able to be defined quantitatively or qualitatively assessed. Depends what the on-farm carbon saving activity is. Alternative source 1 outlines some on-farm carbon saving activities - some of these (like electric tractors/equipment) would increase heating and electricity demand.
",Medium,
Apr_2023,n_14,n_38,Same,,1:1 relationship by definition,Low,
Apr_2023,n_16,n_40,Same,,"Uncertainty around what the relationship is reflecting - see 'Justification, direction'.",Medium,
Apr_2023,n_17,n_2,Same,,,Medium,
Apr_2023,n_17,n_21,Opposite,"Department for Food, Environment and Rural Affairs",Both terms are too imprecise (general) to be assessed qualitatively or quantitatively.,Low,
Apr_2023,n_18,n_17,Same,,,Low,
Apr_2023,n_19,n_77,Same,"Soil Remediation and Plants
Academic Press",'Shifting to alternative systems' is too imprecise to be assess quantitatively or qualitatively,Medium,
Apr_2023,n_20,n_62,Same,,Difficult to  provide a quantitative and qualitative assessment as 'farmer adapting to sustainable business models' is too general a term to be quantitatively or qualitatively assessed - would need more specificity about what this means,Medium,
Apr_2023,n_20,n_52,Same,,Difficult to  provide a quantitative and qualitative assessment as 'farmer adapting to sustainable business models' is too general a term to be quantitatively or qualitatively assessed - would need more specificity about what this means,Medium,
Apr_2023,n_20,n_30,Same,,Difficult to  provide a quantitative and qualitative assessment as 'farmer adapting to sustainable business models' is too general a term to be quantitatively or qualitatively assessed - would need more specificity about what this means,Medium,
Apr_2023,n_20,n_26,Opposite,,,Medium,
Apr_2023,n_20,n_162,Same,,Difficult to  provide a quantitative and qualitative assessment as 'farmer adapting to sustainable business models' is too general a term to be quantitatively or qualitatively assessed - would need more specificity about what this means,Low,
Apr_2023,n_21,n_32,Same,,,Medium,
Apr_2023,n_21,n_8,Same,,,Medium,
Apr_2023,n_22,n_39,Same,,Food crop demand is a subset of UK crop demand,Medium,
